time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-13T02:00:54.770Z,33.2523333,-116.2748333,10.16,0.8,ml,28,80,0.062,0.2,ci,ci37399184,2015-06-13T02:19:38.092Z,"9km E of Borrego Springs, California",earthquake
2015-06-13T01:50:17.000Z,59.7301,-151.4594,66.2,2.8,ml,,,,0.89,ak,ak11624633,2015-06-13T02:16:42.566Z,"8km NE of Diamond Ridge, Alaska",earthquake
2015-06-13T01:22:46.290Z,-8.5947,118.2976,133.51,4.9,mb,,70,3.838,0.86,us,us20002pk5,2015-06-13T01:42:00.836Z,"4km S of Npongge, Indonesia",earthquake
2015-06-13T01:18:29.520Z,27.6631,86.1257,10,4.8,mb,,119,0.72,1.33,us,us20002pk4,2015-06-13T01:41:00.989Z,"36km SSE of Kodari, Nepal",earthquake
2015-06-13T01:18:27.960Z,38.8139992,-122.8143311,3.58,0.38,md,9,87,0.01268,0.02,nc,nc72465276,2015-06-13T01:20:04.930Z,"6km NW of The Geysers, California",earthquake
2015-06-13T01:14:57.000Z,56.509,-156.4504,81.3,4.8,ml,,,,1.25,ak,ak11624588,2015-06-13T04:04:11.588Z,"115km NW of Chirikof Island, Alaska",earthquake
2015-06-13T01:05:16.240Z,36.0143333,-120.6266667,9.22,0.7,md,8,244,0.05607,0.03,nc,nc71093194,2015-06-13T02:28:27.810Z,"27km WSW of Coalinga, California",earthquake
2015-06-13T01:04:45.900Z,37.3596667,-119.9995,19.55,2.13,md,17,73,0.2087,0.13,nc,nc72465266,2015-06-13T03:10:06.428Z,"14km SSW of Mariposa, California",earthquake
2015-06-13T01:04:42.800Z,38.7866669,-122.7366638,1.98,1.08,md,8,76,0.003425,0.01,nc,nc72465281,2015-06-13T01:20:14.870Z,"2km ENE of The Geysers, California",earthquake
2015-06-13T00:59:57.390Z,33.2416667,-116.7665,12.11,0.5,ml,24,83,0.008616,0.17,ci,ci37399144,2015-06-13T02:11:28.469Z,"0km W of Lake Henshaw, California",earthquake
2015-06-13T00:54:46.120Z,37.5645,-118.833,5.15,0.95,md,26,87,0.02567,0.05,nc,nc72465256,2015-06-13T02:40:38.288Z,"15km SE of Mammoth Lakes, California",earthquake
2015-06-13T00:34:44.958Z,37.3485,-117.1215,6.1929,0.43,ml,13,205.29,0.375,0.0924,nn,nn00498473,2015-06-13T01:11:55.718Z,"41km SSE of Goldfield, Nevada",earthquake
2015-06-13T00:28:10.310Z,36.0095,-117.8018333,2.89,0.02,ml,13,100,0.03354,0.11,ci,ci37250789,2015-06-13T01:45:21.469Z,"12km NE of Little Lake, California",earthquake
2015-06-13T00:27:48.900Z,36.0085,-117.8018333,3.06,-0.02,ml,9,100,0.03402,0.09,ci,ci37250781,2015-06-13T01:36:21.404Z,"12km NE of Little Lake, California",earthquake
2015-06-13T00:27:42.990Z,36.005,-117.8025,3.19,-0.08,ml,9,100,0.03631,0.09,ci,ci37399128,2015-06-13T01:28:27.632Z,"12km NE of Little Lake, California",earthquake
2015-06-13T00:18:21.980Z,36.008,-117.803,2.97,0.01,ml,12,120,0.03509,0.1,ci,ci37399120,2015-06-13T01:20:03.894Z,"12km NE of Little Lake, California",earthquake
2015-06-13T00:15:55.150Z,36.008,-117.8046667,2.43,2.02,ml,35,43,0.03627,0.15,ci,ci37399104,2015-06-13T02:04:00.780Z,"12km NE of Little Lake, California",earthquake
2015-06-13T00:15:31.590Z,36.0103333,-117.804,2.88,1.47,ml,27,43,0.03474,0.12,ci,ci37399096,2015-06-13T01:53:52.546Z,"12km NE of Little Lake, California",earthquake
2015-06-13T00:05:09.430Z,46.2428333,-122.9671667,0.01,0.95,md,6,231,0.1528,0.09,uw,uw61026417,2015-06-13T01:33:32.670Z,"5km SW of Castle Rock, Washington",explosion
2015-06-13T00:03:42.000Z,60.5929,-152.8169,128,1.8,ml,,,,0.44,ak,ak11624581,2015-06-13T01:07:11.782Z,"12km NNW of Redoubt Volcano, Alaska",earthquake
2015-06-12T23:57:22.260Z,38.7705002,-122.7503357,0.24,0.93,md,10,85,0.01205,0.03,nc,nc72465231,2015-06-12T23:58:59.250Z,"0km SE of The Geysers, California",earthquake
2015-06-12T23:37:24.810Z,40.6666667,-122.2641667,6.97,1.24,md,8,95,0.1775,0.05,nc,nc72465226,2015-06-13T00:38:55.910Z,"3km NW of Bella Vista, California",earthquake
2015-06-12T23:37:19.620Z,37.1258333,-121.9196667,11.51,2.29,md,76,65,0.0385,0.09,nc,nc72465221,2015-06-13T02:16:04.298Z,"6km SE of Lexington Hills, California",earthquake
2015-06-12T23:26:59.270Z,45.6926667,-122.3778333,2.99,0.91,md,12,164,0.2372,0.15,uw,uw61026407,2015-06-13T01:06:07.530Z,"6km NNE of Fern Prairie, Washington",earthquake
2015-06-12T23:20:04.060Z,36.3119,-96.6997,5,3.3,mb_lg,,26,0.14,0.49,us,us20002pj8,2015-06-13T02:32:57.481Z,"9km ESE of Pawnee, Oklahoma",earthquake
2015-06-12T23:18:20.000Z,62.6177,-151.9484,0,1.1,ml,,,,0.57,ak,ak11624463,2015-06-12T23:39:07.913Z,"100km WNW of Talkeetna, Alaska",earthquake
2015-06-12T23:16:08.050Z,34.1388333,-116.8405,9.54,2.1,ml,103,24,0.09112,0.14,ci,ci37399088,2015-06-13T04:11:40.646Z,"13km SSE of Big Bear Lake, California",earthquake
2015-06-12T23:15:01.000Z,61.6137,-149.8291,27.9,1.6,ml,,,,0.57,ak,ak11624460,2015-06-12T23:39:54.677Z,"1km SSW of Houston, Alaska",earthquake
2015-06-12T23:12:31.000Z,65.006,-147.2147,13.5,0.9,ml,,,,0.89,ak,ak11624458,2015-06-12T23:24:04.865Z,"27km NNE of Badger, Alaska",earthquake
2015-06-12T23:07:59.300Z,20.0056667,-155.5973333,13,2.25,md,12,169,0.1585,0.19,hv,hv60958991,2015-06-13T03:07:03.814Z,"8km ESE of Waimea, Hawaii",earthquake
2015-06-12T22:59:08.890Z,36.8696667,-121.3101667,6.01,1.56,md,44,40,0.01494,0.08,nc,nc72465211,2015-06-13T02:17:48.400Z,"8km ENE of Hollister, California",earthquake
2015-06-12T22:54:50.540Z,33.0566667,-115.0051667,0.01,1.3,ml,11,73,0.08723,0.24,ci,ci37399072,2015-06-12T23:42:15.700Z,"44km NE of Holtville, California",quarry blast
2015-06-12T22:51:53.020Z,38.9525,-123.4465,5.72,1.79,md,15,119,0.1041,0.09,nc,nc72465206,2015-06-13T01:25:39.490Z,"9km SW of Boonville, California",earthquake
2015-06-12T22:42:24.480Z,36.3065,-96.6916,3.67,3.7,mwr,,24,0.135,0.59,us,us20002pis,2015-06-13T00:43:42.149Z,"10km ESE of Pawnee, Oklahoma",earthquake
2015-06-12T22:35:39.240Z,35.5808,-97.1349,7.22,3.1,mb_lg,,39,0.063,0.43,us,us20002pip,2015-06-13T01:38:11.700Z,"10km NNE of Harrah, Oklahoma",earthquake
